Player,Team,Pos,G,AB,R,H,2B,3B,HR,RBI,BB,SO,AVG,OBP
"Castellanos, N",CHC,RF,151,615,100,178,58,3,27,73,41,143,0.289,0.337
"Naquin, T",CLE,RF,89,274,34,79,19,0,10,34,14,66,0.288,0.325
"Laureano, R",OAK,CF,123,434,79,125,29,0,24,67,27,123,0.288,0.34
"Iglesias, J",CIN,SS,146,504,62,145,21,3,11,59,20,70,0.288,0.318
"Ramos, W",NYM,C,141,473,52,136,19,0,14,73,44,69,0.288,0.351
"Rosario, A",NYM,SS,157,616,75,177,30,7,15,72,31,124,0.287,0.323
"Ohtani, S",LAA,DH,106,384,51,110,20,5,18,62,33,110,0.286,0.343
"Braun, R",MIL,LF,144,459,70,131,31,2,22,75,34,105,0.285,0.343
"Markakis, N",ATL,RF,116,414,61,118,25,2,9,62,47,59,0.285,0.356
"Semien, M",OAK,SS,162,657,123,187,43,7,33,92,87,102,0.285,0.369
"Maybin, C",NYY,LF,82,239,48,68,17,0,11,32,30,72,0.285,0.364
"Wong, K",STL,2B,148,478,61,136,25,4,11,59,47,83,0.285,0.361
"Lindor, F",CLE,SS,143,598,101,170,40,2,32,74,46,98,0.284,0.335
"Abreu, J",CWS,1B,159,634,85,180,38,1,33,123,36,152,0.284,0.33
"Rojas, M",MIA,SS,132,483,52,137,29,1,5,46,32,62,0.284,0.331
"Santana, D",TEX,2B,130,474,81,134,23,6,28,81,25,151,0.283,0.324
"Smith, D",NYM,1B,89,177,35,50,10,0,11,25,19,44,0.282,0.355
"Soto, J",WSH,LF,150,542,110,153,32,5,34,110,108,132,0.282,0.401
"Garcia, A",TB,RF,125,489,61,138,25,2,20,72,31,125,0.282,0.332
"Cabrera, M",DET,1B,136,493,41,139,21,0,12,59,48,108,0.282,0.346
"Bryant, K",CHC,3B,147,543,108,153,35,1,31,77,74,145,0.282,0.382
"Santana, C",CLE,1B,158,573,110,161,30,1,34,93,108,108,0.281,0.397
"Cooper, G",MIA,RF,107,381,52,107,16,1,15,50,33,110,0.281,0.344
"Romine, A",NYY,C,72,228,29,64,12,0,8,35,10,50,0.281,0.31
"Baez, J",CHC,SS,138,531,89,149,38,4,29,85,28,156,0.281,0.316
"Cabrera, M",PIT,RF,133,378,43,106,22,1,7,47,17,41,0.28,0.313
"Acuna Jr., R",ATL,LF,156,626,127,175,22,2,41,101,76,188,0.28,0.365
"Segura, J",PHI,SS,144,576,79,161,37,4,12,60,30,73,0.28,0.323
"Hernandez, C",PHI,2B,161,612,77,171,31,3,14,71,45,100,0.279,0.333
"Dozier, H",KC,3B,139,523,75,146,29,10,26,84,55,148,0.279,0.348
"Eaton, A",WSH,RF,151,566,103,158,25,7,15,49,65,106,0.279,0.365
"Garcia, L",CWS,CF,140,577,93,161,27,3,8,40,21,139,0.279,0.31
"Correa, C",HOU,SS,75,280,42,78,16,1,21,59,35,75,0.279,0.358
"Murphy, D",COL,1B,132,438,56,122,35,1,13,78,32,74,0.279,0.328
"Torres, G",NYY,SS,144,546,96,152,26,0,38,90,48,129,0.278,0.337
"Holaday, B",MIA,C,43,115,12,32,6,0,4,12,11,21,0.278,0.344
"Narvaez, O",SEA,C,132,428,63,119,12,0,22,55,47,92,0.278,0.353
"Frazier, A",PIT,2B,152,554,80,154,33,7,10,50,40,75,0.278,0.336
"Gurriel Jr., L",TOR,LF,84,314,52,87,19,2,20,50,20,86,0.277,0.327
"Bell, J",PIT,1B,143,527,94,146,37,3,37,116,74,118,0.277,0.367
"Tauchman, M",NYY,CF,87,260,46,72,18,1,13,47,34,71,0.277,0.361
"Freeman, M",CLE,2B,75,177,27,49,8,0,4,24,22,61,0.277,0.362
"Moran, C",PIT,3B,149,466,46,129,30,1,13,80,30,117,0.277,0.322
"Vazquez, C",BOS,C,138,482,66,133,26,1,23,72,33,101,0.276,0.32
"Dickerson, A",SF,LF,68,174,29,48,13,3,6,28,13,42,0.276,0.332
"Rosario, E",MIN,LF,137,562,91,155,28,1,32,109,22,86,0.276,0.3
"Luplow, J",CLE,RF,85,225,42,62,15,1,15,38,33,61,0.276,0.372
"Ramirez, H",MIA,CF,119,421,54,116,20,3,11,50,18,91,0.276,0.312
"Reddick, J",HOU,RF,141,501,57,138,19,3,14,56,36,66,0.275,0.319
"Realmuto, J",PHI,C,145,538,92,148,36,3,25,83,41,123,0.275,0.328
"Andrus, E",TEX,SS,147,600,81,165,27,4,12,72,34,96,0.275,0.313
"Peralta, D",ARI,LF,99,382,48,105,29,3,12,57,35,87,0.275,0.343
"Gordon, D",SEA,2B,117,393,36,108,12,6,3,34,18,61,0.275,0.304
"Tapia, R",COL,LF,138,426,54,117,23,5,9,44,21,100,0.275,0.309
"Villar, J",BAL,2B,162,642,111,176,33,5,24,73,61,176,0.274,0.339
"Dubon, M",SF,SS,30,106,12,29,5,0,4,9,5,20,0.274,0.306
"Berti, J",MIA,3B,73,256,52,70,14,1,6,24,24,73,0.273,0.348
"Pham, T",TB,LF,145,567,77,155,33,2,21,68,81,123,0.273,0.369
"McCann, J",CWS,C,118,439,62,120,26,1,18,60,30,137,0.273,0.328
"Garver, M",MIN,C,93,311,70,85,16,1,31,67,41,87,0.273,0.365
"Canha, M",OAK,1B,126,410,80,112,16,3,26,58,67,107,0.273,0.396
"Murphy, T",SEA,C,75,260,32,71,12,1,18,40,19,87,0.273,0.324
"Brosseau, M",TB,3B,50,132,17,36,7,0,6,16,7,39,0.273,0.319
"Judge, A",NYY,RF,102,378,75,103,18,1,27,55,64,141,0.272,0.381
"Adrianza, E",MIN,3B,83,202,34,55,8,3,5,22,20,40,0.272,0.349
"Yastrzemski, M",SF,LF,107,371,64,101,22,3,21,55,32,107,0.272,0.334
"Contreras, W",CHC,C,105,360,57,98,18,2,24,64,38,102,0.272,0.355
"Seager, C",LAD,SS,134,489,82,133,44,1,19,87,44,98,0.272,0.335
"Guerrero Jr., V",TOR,3B,123,464,52,126,26,2,15,69,46,91,0.272,0.339
"Diaz, A",HOU,2B,69,210,36,57,12,1,9,40,26,28,0.271,0.356
"Suarez, E",CIN,3B,159,575,87,156,22,2,49,103,70,189,0.271,0.358
"Ervin, P",CIN,RF,94,236,30,64,11,7,7,23,18,63,0.271,0.331
"Castro, S",MIA,2B,162,636,68,172,31,4,22,86,28,111,0.27,0.3
"Lopes, T",SEA,2B,41,111,11,30,7,0,1,12,15,29,0.27,0.359
"Lowe, B",TB,2B,82,296,42,80,17,2,17,51,25,113,0.27,0.336
"Molina, Y",STL,C,113,419,45,113,24,0,10,57,23,58,0.27,0.312
"Mercer, J",DET,SS,74,256,24,69,16,0,9,22,13,57,0.27,0.31
"Martinez, J",STL,RF,128,334,45,90,13,2,10,42,35,82,0.269,0.34
"Mercado, O",CLE,RF,115,438,70,118,25,3,15,54,28,84,0.269,0.318
"Winker, J",CIN,LF,113,338,51,91,17,2,16,38,38,60,0.269,0.357
"Nola, A",SEA,1B,79,238,37,64,12,1,10,31,23,63,0.269,0.342
"Escobar, E",ARI,3B,158,636,94,171,29,10,35,118,50,130,0.269,0.32
"Vargas, I",ARI,2B,92,201,25,54,9,1,6,24,9,24,0.269,0.299
"Calhoun, W",TEX,LF,83,309,51,83,14,1,21,48,23,53,0.269,0.323
"Straw, M",HOU,CF,56,108,27,29,4,2,0,7,19,24,0.269,0.378
"Astudillo, W",MIN,C,58,190,28,51,9,0,4,21,5,8,0.268,0.299
"Sandoval, P",SF,3B,108,272,42,73,23,0,14,41,18,67,0.268,0.313
"Mazara, N",TEX,RF,116,429,69,115,27,1,19,66,28,108,0.268,0.318
"Munoz, Y",STL,2B,88,172,20,46,7,1,2,13,7,37,0.267,0.298
"Diaz, Y",TB,3B,79,307,53,82,20,1,14,38,35,61,0.267,0.34
"Jimenez, E",CWS,LF,122,468,69,125,18,2,31,79,30,134,0.267,0.315
"Olson, M",OAK,1B,127,483,73,129,26,0,36,91,51,138,0.267,0.351
"Duvall, A",ATL,LF,41,120,17,32,4,1,10,19,7,39,0.267,0.315
"Frazier, C",NYY,RF,69,225,31,60,14,0,12,38,16,70,0.267,0.317
"Jay, J",CWS,CF,47,165,12,44,8,0,0,9,8,30,0.267,0.311
"Puig, Y",CLE,RF,149,555,76,148,30,2,24,84,44,133,0.267,0.327
"Caratini, V",CHC,C,95,244,31,65,11,0,11,34,29,59,0.266,0.348
"Pollock, A",LAD,CF,86,308,49,82,15,1,15,47,23,74,0.266,0.327
"Gordon, A",KC,LF,150,556,77,148,31,1,13,76,51,100,0.266,0.345
"Benintendi, A",BOS,LF,138,541,72,144,40,5,13,68,59,140,0.266,0.343
"Haseley, A",PHI,CF,67,222,30,59,14,0,5,26,14,60,0.266,0.324
"Mejia, F",SD,C,79,226,27,60,11,2,8,22,13,56,0.265,0.316
"Beaty, M",LAD,1B,99,249,36,66,19,1,9,46,17,33,0.265,0.317
"Hosmer, E",SD,1B,160,619,72,164,29,2,22,99,40,163,0.265,0.31
"Soler, J",KC,RF,162,589,95,156,33,1,48,117,73,178,0.265,0.354
"Choo, S",TEX,LF,151,563,93,149,31,2,24,61,78,165,0.265,0.371
"Osuna, J",PIT,3B,95,261,41,69,20,0,10,36,18,48,0.264,0.31
"Happ, I",CHC,CF,58,140,25,37,7,1,11,30,15,39,0.264,0.333
"Suzuki, K",WSH,C,85,280,37,74,11,0,17,63,20,36,0.264,0.324
"Simmons, A",LAA,SS,103,398,47,105,19,0,7,40,24,37,0.264,0.309
"Gonzalez, M",MIN,3B,114,425,52,112,19,0,15,55,31,98,0.264,0.322
"Voit, L",NYY,1B,118,429,72,113,21,1,21,62,71,142,0.263,0.378
"Long, S",SEA,2B,42,152,21,40,12,1,5,15,16,40,0.263,0.333
"Lowe, N",TB,1B,50,152,24,40,8,0,7,19,13,50,0.263,0.325
"Vogt, S",SF,C,99,255,30,67,24,2,10,40,20,66,0.263,0.314
"Mondesi, A",KC,SS,102,415,58,109,20,10,9,62,19,132,0.263,0.291
"O'Neill, T",STL,LF,60,141,18,37,6,0,5,16,10,53,0.262,0.311
"Taylor, C",LAD,LF,124,366,52,96,29,4,12,52,37,115,0.262,0.333
"Alfaro, J",MIA,C,130,431,44,113,14,1,18,57,22,154,0.262,0.312
"Buxton, B",MIN,CF,87,271,48,71,30,4,10,46,19,68,0.262,0.314
"Wolters, T",COL,C,121,359,42,94,17,2,1,42,36,68,0.262,0.337
"Stallings, J",PIT,C,71,191,26,50,5,0,6,13,16,40,0.262,0.325
"Goodwin, B",LAA,LF,136,413,65,108,29,3,17,47,38,129,0.262,0.326
"Anderson, B",MIA,3B,126,459,57,120,33,1,20,66,44,114,0.261,0.342
"Walker, N",MIA,1B,115,337,37,88,19,1,8,38,42,77,0.261,0.344
"Choi, J",TB,1B,127,410,54,107,20,2,19,63,64,108,0.261,0.363
"Votto, J",CIN,1B,142,525,79,137,32,1,15,47,76,123,0.261,0.357
"Santander, A",BAL,LF,93,380,46,99,20,1,20,59,19,86,0.261,0.297
"Galvis, F",CIN,SS,147,557,67,145,28,1,23,70,28,145,0.26,0.296
"Harper, B",PHI,RF,157,573,98,149,36,1,35,114,99,178,0.26,0.372
"Zobrist, B",CHC,RF,47,150,24,39,5,0,1,17,23,24,0.26,0.358
